account_id,month,mrr,expansion_flag,contraction_flag,renewal_risk_score
ACC-0001,2025-06-01,13409.17,0,0,0.145
ACC-0001,2025-07-01,13409.17,0,0,0.281
ACC-0001,2025-08-01,13409.17,0,0,0.175
ACC-0001,2025-09-01,13409.17,0,0,0.14
ACC-0001,2025-10-01,13409.17,0,0,0.743
ACC-0001,2025-11-01,13409.17,0,0,0.326
ACC-0001,2025-12-01,13409.17,0,0,0.503
ACC-0001,2026-01-01,13409.17,0,0,0.14
ACC-0001,2026-02-01,13409.17,1,0,0.09
ACC-0001,2026-03-01,13409.17,0,0,0.313
ACC-0002,2025-05-01,3518.08,0,0,0.321
ACC-0002,2025-06-01,3518.08,0,0,0.282
ACC-0002,2025-07-01,3518.08,0,0,0.299
ACC-0002,2025-08-01,3518.08,0,0,0.26
ACC-0002,2025-09-01,3518.08,0,1,0.491
ACC-0002,2025-10-01,3518.08,0,0,0.16
ACC-0002,2025-11-01,3518.08,0,0,0.515
ACC-0002,2025-12-01,3518.08,0,0,0.24
ACC-0002,2026-01-01,3518.08,0,0,0.14
ACC-0002,2026-02-01,3518.08,0,0,0.166
ACC-0002,2026-03-01,3518.08,0,0,0.14
ACC-0003,2025-01-01,12278.42,1,0,0.29
ACC-0003,2025-02-01,12278.42,0,0,0.261
ACC-0003,2025-03-01,12278.42,0,0,0.748
ACC-0003,2025-04-01,12278.42,0,0,0.355
ACC-0003,2025-05-01,12278.42,0,0,0.389
ACC-0003,2025-06-01,12278.42,0,1,0.717
ACC-0003,2025-07-01,12278.42,0,0,0.53
ACC-0003,2025-08-01,12278.42,0,0,0.14
ACC-0003,2025-09-01,12278.42,0,1,0.805
ACC-0003,2025-10-01,12278.42,0,0,0.508
ACC-0003,2025-11-01,12278.42,0,0,0.584
ACC-0003,2025-12-01,12278.42,0,0,0.333
ACC-0003,2026-01-01,12278.42,0,0,0.14
ACC-0003,2026-02-01,12278.42,0,0,0.341
ACC-0003,2026-03-01,12278.42,0,0,0.704
ACC-0004,2025-07-01,2746.25,0,0,0.31
ACC-0004,2025-08-01,2746.25,1,0,0.141
ACC-0004,2025-09-01,2746.25,1,1,0.333
ACC-0004,2025-10-01,2746.25,0,0,0.21
ACC-0004,2025-11-01,2746.25,0,0,0.283
ACC-0004,2025-12-01,2746.25,0,0,0.27
ACC-0004,2026-01-01,2746.25,0,0,0.158
ACC-0004,2026-02-01,2746.25,0,0,0.227
ACC-0004,2026-03-01,2746.25,1,0,0.344
ACC-0005,2025-06-01,1301.83,0,0,0.371
ACC-0005,2025-07-01,1301.83,0,0,0.161
ACC-0005,2025-08-01,1301.83,0,0,0.155
ACC-0005,2025-09-01,1301.83,0,0,0.631
ACC-0005,2025-10-01,1301.83,0,0,0.165
ACC-0005,2025-11-01,1301.83,1,0,0.197
ACC-0005,2025-12-01,1301.83,0,0,0.715
ACC-0005,2026-01-01,1301.83,0,0,0.336
ACC-0005,2026-02-01,1301.83,0,0,0.209
ACC-0005,2026-03-01,1301.83,0,0,0.32
ACC-0006,2025-06-01,6993.67,1,0,0.218
ACC-0006,2025-07-01,6993.67,0,0,0.783
ACC-0006,2025-08-01,6993.67,0,0,0.627
ACC-0006,2025-09-01,6993.67,0,0,0.468
ACC-0006,2025-10-01,6993.67,0,0,0.618
ACC-0006,2025-11-01,6993.67,0,0,0.64
ACC-0006,2025-12-01,6993.67,0,0,0.519
ACC-0006,2026-01-01,6993.67,0,0,0.15
ACC-0006,2026-02-01,6993.67,0,0,0.466
ACC-0006,2026-03-01,6993.67,0,0,0.32
ACC-0007,2025-03-01,8912.75,0,0,0.326
ACC-0007,2025-04-01,8912.75,0,0,0.201
ACC-0007,2025-05-01,8912.75,0,0,0.319
ACC-0007,2025-06-01,8912.75,0,0,0.277
ACC-0007,2025-07-01,8912.75,0,0,0.14
ACC-0007,2025-08-01,8912.75,0,0,0.562
ACC-0007,2025-09-01,8912.75,0,0,0.538
ACC-0007,2025-10-01,8912.75,0,0,0.14
ACC-0007,2025-11-01,8912.75,0,0,0.17
ACC-0007,2025-12-01,8912.75,0,0,0.371
ACC-0007,2026-01-01,8912.75,0,0,0.14
ACC-0007,2026-02-01,8912.75,1,0,0.09
ACC-0007,2026-03-01,8912.75,0,0,0.287
ACC-0008,2025-03-01,9977.75,0,0,0.588
ACC-0008,2025-04-01,9977.75,0,0,0.22
ACC-0008,2025-05-01,9977.75,0,0,0.225
ACC-0008,2025-06-01,9977.75,0,0,0.304
ACC-0008,2025-07-01,9977.75,0,1,0.22
ACC-0008,2025-08-01,9977.75,0,0,0.616
ACC-0008,2025-09-01,9977.75,0,0,0.32
ACC-0008,2025-10-01,9977.75,0,0,0.268
ACC-0008,2025-11-01,9977.75,0,0,0.207
ACC-0008,2025-12-01,9977.75,0,0,0.395
ACC-0008,2026-01-01,9977.75,0,0,0.312
ACC-0008,2026-02-01,9977.75,0,0,0.3
ACC-0008,2026-03-01,9977.75,0,1,0.667
ACC-0009,2025-01-01,17623.58,1,0,0.09
ACC-0009,2025-02-01,17623.58,0,0,0.333
ACC-0009,2025-03-01,17623.58,0,1,0.7
ACC-0009,2025-04-01,17623.58,0,0,0.594
ACC-0009,2025-05-01,17623.58,0,0,0.269
ACC-0009,2025-06-01,17623.58,0,0,0.394
ACC-0009,2025-07-01,17623.58,0,0,0.18
ACC-0009,2025-08-01,17623.58,0,0,0.468
ACC-0009,2025-09-01,17623.58,0,1,0.89
ACC-0009,2025-10-01,17623.58,0,0,0.386
ACC-0009,2025-11-01,17623.58,0,0,0.751
ACC-0009,2025-12-01,17623.58,0,0,0.289
ACC-0009,2026-01-01,17623.58,0,0,0.333
ACC-0009,2026-02-01,17623.58,0,0,0.97
ACC-0009,2026-03-01,17623.58,1,0,0.09
ACC-0010,2025-01-01,1112.0,1,0,0.195
ACC-0010,2025-02-01,1112.0,0,0,0.548
ACC-0010,2025-03-01,1112.0,0,0,0.222
ACC-0010,2025-04-01,1112.0,0,0,0.21
ACC-0010,2025-05-01,1112.0,0,0,0.14
ACC-0010,2025-06-01,1112.0,0,0,0.14
ACC-0010,2025-07-01,1112.0,1,0,0.09
ACC-0010,2025-08-01,1112.0,0,0,0.14
ACC-0010,2025-09-01,1112.0,0,1,0.419
ACC-0010,2025-10-01,1112.0,0,0,0.292
ACC-0010,2025-11-01,1112.0,0,0,0.249
ACC-0010,2025-12-01,1112.0,0,0,0.14
ACC-0010,2026-01-01,1112.0,0,0,0.416
ACC-0010,2026-02-01,1112.0,0,0,0.14
ACC-0010,2026-03-01,1112.0,0,0,0.196
ACC-0011,2025-01-01,1996.08,0,0,0.14
ACC-0011,2025-02-01,1996.08,1,0,0.09
ACC-0011,2025-03-01,1996.08,0,1,0.588
ACC-0011,2025-04-01,1996.08,0,1,0.444
ACC-0011,2025-05-01,1996.08,0,1,0.38
ACC-0011,2025-06-01,1996.08,0,0,0.14
ACC-0011,2025-07-01,1996.08,0,0,0.519
ACC-0011,2025-08-01,1996.08,0,1,0.672
ACC-0011,2025-09-01,1996.08,0,0,0.14
ACC-0011,2025-10-01,1996.08,0,0,0.14
ACC-0011,2025-11-01,1996.08,0,0,0.14
ACC-0011,2025-12-01,1996.08,0,0,0.214
ACC-0011,2026-01-01,1996.08,0,0,0.434
ACC-0011,2026-02-01,1996.08,0,0,0.143
ACC-0011,2026-03-01,1996.08,0,0,0.15
ACC-0012,2025-01-01,46486.75,0,0,0.88
ACC-0012,2025-02-01,46486.75,0,0,0.66
ACC-0012,2025-03-01,46486.75,0,0,0.585
ACC-0012,2025-04-01,46486.75,0,0,0.26
ACC-0012,2025-05-01,46486.75,0,0,0.14
ACC-0012,2025-06-01,46486.75,0,0,0.848
ACC-0012,2025-07-01,46486.75,0,0,0.459
ACC-0012,2025-08-01,46486.75,0,0,0.215
ACC-0012,2025-09-01,46486.75,0,0,0.354
ACC-0012,2025-10-01,46486.75,0,0,0.14
ACC-0012,2025-11-01,46486.75,0,1,0.92
ACC-0012,2025-12-01,46486.75,0,0,0.14
ACC-0012,2026-01-01,46486.75,1,0,0.09
ACC-0012,2026-02-01,46486.75,0,0,0.14
ACC-0012,2026-03-01,46486.75,0,0,0.14
ACC-0013,2025-01-01,2026.58,0,0,0.207
ACC-0013,2025-02-01,2026.58,0,0,0.396
ACC-0013,2025-03-01,2026.58,0,0,0.208
ACC-0013,2025-04-01,2026.58,0,0,0.253
ACC-0013,2025-05-01,2026.58,0,0,0.813
ACC-0013,2025-06-01,2026.58,0,0,0.14
ACC-0013,2025-07-01,2026.58,0,1,0.97
ACC-0013,2025-08-01,2026.58,0,0,0.14
ACC-0013,2025-09-01,2026.58,0,0,0.14
ACC-0013,2025-10-01,2026.58,0,0,0.551
ACC-0013,2025-11-01,2026.58,0,0,0.14
ACC-0013,2025-12-01,2026.58,0,0,0.14
ACC-0013,2026-01-01,2026.58,0,0,0.14
ACC-0013,2026-02-01,2026.58,0,0,0.231
ACC-0013,2026-03-01,2026.58,0,0,0.448
ACC-0014,2025-04-01,10807.17,0,0,0.14
ACC-0014,2025-05-01,10807.17,0,0,0.575
ACC-0014,2025-06-01,10807.17,0,0,0.14
ACC-0014,2025-07-01,10807.17,0,0,0.305
ACC-0014,2025-08-01,10807.17,0,0,0.27
ACC-0014,2025-09-01,10807.17,0,1,0.55
ACC-0014,2025-10-01,10807.17,0,0,0.14
ACC-0014,2025-11-01,10807.17,0,0,0.478
ACC-0014,2025-12-01,10807.17,1,0,0.331
ACC-0014,2026-01-01,10807.17,0,0,0.802
ACC-0014,2026-02-01,10807.17,0,0,0.14
ACC-0014,2026-03-01,10807.17,0,0,0.214
ACC-0015,2025-04-01,910.75,0,0,0.223
ACC-0015,2025-05-01,910.75,0,0,0.46
ACC-0015,2025-06-01,910.75,0,0,0.428
ACC-0015,2025-07-01,910.75,0,0,0.49
ACC-0015,2025-08-01,910.75,0,0,0.14
ACC-0015,2025-09-01,910.75,0,0,0.14
ACC-0015,2025-10-01,910.75,0,0,0.14
ACC-0015,2025-11-01,910.75,0,0,0.29
ACC-0015,2025-12-01,910.75,0,0,0.555
ACC-0015,2026-01-01,910.75,0,0,0.43
ACC-0015,2026-02-01,910.75,0,0,0.513
ACC-0015,2026-03-01,910.75,0,1,0.49
ACC-0016,2025-08-01,2110.58,0,0,0.318
ACC-0016,2025-09-01,2110.58,0,0,0.45
ACC-0016,2025-10-01,2110.58,0,0,0.167
ACC-0016,2025-11-01,2110.58,0,0,0.271
ACC-0016,2025-12-01,2110.58,0,0,0.278
ACC-0016,2026-01-01,2110.58,0,0,0.329
ACC-0016,2026-02-01,2110.58,0,0,0.14
ACC-0016,2026-03-01,2110.58,0,0,0.14
ACC-0017,2025-02-01,1633.25,0,0,0.14
ACC-0017,2025-03-01,1633.25,1,0,0.655
ACC-0017,2025-04-01,1633.25,0,0,0.53
ACC-0017,2025-05-01,1633.25,0,0,0.344
ACC-0017,2025-06-01,1633.25,0,0,0.255
ACC-0017,2025-07-01,1633.25,0,0,0.322
ACC-0017,2025-08-01,1633.25,1,0,0.09
ACC-0017,2025-09-01,1633.25,0,0,0.429
ACC-0017,2025-10-01,1633.25,0,0,0.14
ACC-0017,2025-11-01,1633.25,0,0,0.368
ACC-0017,2025-12-01,1633.25,0,1,0.251
ACC-0017,2026-01-01,1633.25,0,0,0.619
ACC-0017,2026-02-01,1633.25,1,0,0.09
ACC-0017,2026-03-01,1633.25,0,0,0.56
ACC-0018,2025-01-01,11312.67,0,1,0.466
ACC-0018,2025-02-01,11312.67,0,0,0.311
ACC-0018,2025-03-01,11312.67,0,0,0.338
ACC-0018,2025-04-01,11312.67,0,0,0.34
ACC-0018,2025-05-01,11312.67,0,0,0.301
ACC-0018,2025-06-01,11312.67,0,0,0.366
ACC-0018,2025-07-01,11312.67,0,0,0.149
ACC-0018,2025-08-01,11312.67,0,0,0.435
ACC-0018,2025-09-01,11312.67,0,0,0.32
ACC-0018,2025-10-01,11312.67,0,0,0.45
ACC-0018,2025-11-01,11312.67,0,0,0.575
ACC-0018,2025-12-01,11312.67,0,0,0.71
ACC-0018,2026-01-01,11312.67,0,0,0.556
ACC-0018,2026-02-01,11312.67,0,0,0.14
ACC-0018,2026-03-01,11312.67,0,0,0.297
ACC-0019,2025-01-01,2340.33,0,0,0.29
ACC-0019,2025-02-01,2340.33,0,0,0.293
ACC-0019,2025-03-01,2340.33,0,0,0.252
ACC-0019,2025-04-01,2340.33,0,0,0.335
ACC-0019,2025-05-01,2340.33,0,0,0.347
ACC-0019,2025-06-01,2340.33,1,0,0.09
ACC-0019,2025-07-01,2340.33,0,0,0.199
ACC-0019,2025-08-01,2340.33,0,0,0.148
ACC-0019,2025-09-01,2340.33,1,0,0.108
ACC-0019,2025-10-01,2340.33,0,0,0.319
ACC-0019,2025-11-01,2340.33,0,0,0.14
ACC-0019,2025-12-01,2340.33,0,0,0.375
ACC-0019,2026-01-01,2340.33,0,0,0.44
