account_id,month,active_users,feature_a_usage,feature_b_usage,feature_c_usage,login_frequency,usage_drop_flag
ACC-0001,2025-06-01,26,136,108,56,3.48,0
ACC-0001,2025-07-01,23,170,87,66,5.57,0
ACC-0001,2025-08-01,27,185,102,75,2.67,0
ACC-0001,2025-09-01,26,181,102,80,4.72,0
ACC-0001,2025-10-01,22,128,70,97,4.81,1
ACC-0001,2025-11-01,21,101,83,60,3.27,0
ACC-0001,2025-12-01,31,212,138,84,4.71,0
ACC-0001,2026-01-01,29,179,133,59,5.32,0
ACC-0001,2026-02-01,30,237,97,76,3.39,0
ACC-0001,2026-03-01,30,197,111,74,3.31,0
ACC-0002,2025-05-01,17,101,60,56,4.14,0
ACC-0002,2025-06-01,19,112,81,46,3.01,0
ACC-0002,2025-07-01,18,114,84,37,4.08,0
ACC-0002,2025-08-01,19,149,82,50,5.15,0
ACC-0002,2025-09-01,21,154,62,43,3.5,0
ACC-0002,2025-10-01,21,140,62,49,3.15,0
ACC-0002,2025-11-01,20,93,90,53,5.54,0
ACC-0002,2025-12-01,19,114,90,32,3.53,0
ACC-0002,2026-01-01,20,82,81,38,4.27,0
ACC-0002,2026-02-01,18,125,74,58,4.2,0
ACC-0002,2026-03-01,19,118,57,51,4.61,0
ACC-0003,2025-01-01,108,628,419,302,4.35,0
ACC-0003,2025-02-01,96,618,477,265,4.89,0
ACC-0003,2025-03-01,97,629,373,475,3.63,0
ACC-0003,2025-04-01,96,544,530,366,3.73,0
ACC-0003,2025-05-01,97,657,357,361,4.47,0
ACC-0003,2025-06-01,95,613,422,319,4.24,0
ACC-0003,2025-07-01,85,710,277,297,3.98,0
ACC-0003,2025-08-01,104,572,365,262,4.43,0
ACC-0003,2025-09-01,71,424,168,239,3.85,1
ACC-0003,2025-10-01,70,538,213,263,3.71,0
ACC-0003,2025-11-01,84,615,276,214,4.62,0
ACC-0003,2025-12-01,87,549,445,232,4.26,0
ACC-0003,2026-01-01,99,731,393,296,2.98,0
ACC-0003,2026-02-01,88,602,351,286,4.93,0
ACC-0003,2026-03-01,87,542,369,235,5.2,0
ACC-0004,2025-07-01,29,197,160,48,4.19,0
ACC-0004,2025-08-01,30,164,130,56,4.68,0
ACC-0004,2025-09-01,31,210,81,60,4.6,0
ACC-0004,2025-10-01,33,116,168,84,3.63,0
ACC-0004,2025-11-01,35,201,124,93,5.45,0
ACC-0004,2025-12-01,34,234,151,99,3.32,0
ACC-0004,2026-01-01,34,193,148,80,4.55,0
ACC-0004,2026-02-01,33,105,140,93,4.51,0
ACC-0004,2026-03-01,33,274,143,89,4.93,0
ACC-0005,2025-06-01,15,82,32,32,4.73,0
ACC-0005,2025-07-01,13,95,54,41,3.99,0
ACC-0005,2025-08-01,15,105,79,23,3.88,0
ACC-0005,2025-09-01,17,139,72,39,4.73,0
ACC-0005,2025-10-01,17,103,74,53,5.52,0
ACC-0005,2025-11-01,17,111,68,47,4.12,0
ACC-0005,2025-12-01,15,80,77,28,3.9,0
ACC-0005,2026-01-01,16,139,60,33,3.81,0
ACC-0005,2026-02-01,18,61,59,71,4.61,0
ACC-0005,2026-03-01,15,96,62,43,5.49,1
ACC-0006,2025-06-01,44,259,208,119,3.48,0
ACC-0006,2025-07-01,36,172,121,85,4.42,1
ACC-0006,2025-08-01,40,128,130,114,3.78,0
ACC-0006,2025-09-01,43,250,206,137,4.17,0
ACC-0006,2025-10-01,38,244,132,126,4.03,0
ACC-0006,2025-11-01,37,280,164,106,4.3,0
ACC-0006,2025-12-01,45,249,187,124,3.54,0
ACC-0006,2026-01-01,44,268,200,119,5.96,0
ACC-0006,2026-02-01,51,404,241,229,3.65,0
ACC-0006,2026-03-01,41,246,186,135,4.39,1
ACC-0007,2025-03-01,45,311,213,114,3.43,0
ACC-0007,2025-04-01,46,304,165,127,3.75,0
ACC-0007,2025-05-01,40,203,115,122,3.78,0
ACC-0007,2025-06-01,51,347,219,136,4.12,0
ACC-0007,2025-07-01,46,335,185,181,4.21,0
ACC-0007,2025-08-01,50,298,132,169,4.71,0
ACC-0007,2025-09-01,40,278,152,105,4.59,1
ACC-0007,2025-10-01,40,235,199,103,3.79,0
ACC-0007,2025-11-01,43,320,163,146,4.31,0
ACC-0007,2025-12-01,37,203,150,109,4.37,0
ACC-0007,2026-01-01,51,313,165,174,3.97,0
ACC-0007,2026-02-01,47,290,276,76,3.93,0
ACC-0007,2026-03-01,47,265,226,177,4.17,0
ACC-0008,2025-03-01,25,159,100,78,4.07,0
ACC-0008,2025-04-01,26,190,81,64,2.98,0
ACC-0008,2025-05-01,27,182,121,59,5.45,0
ACC-0008,2025-06-01,28,187,133,70,3.82,0
ACC-0008,2025-07-01,28,266,121,121,5.04,0
ACC-0008,2025-08-01,30,162,148,64,5.32,0
ACC-0008,2025-09-01,24,86,91,87,4.03,1
ACC-0008,2025-10-01,25,139,76,78,4.22,0
ACC-0008,2025-11-01,23,180,78,78,4.25,0
ACC-0008,2025-12-01,25,126,102,114,4.61,0
ACC-0008,2026-01-01,26,83,121,81,5.0,0
ACC-0008,2026-02-01,28,192,133,80,3.9,0
ACC-0008,2026-03-01,29,205,118,112,3.88,0
ACC-0009,2025-01-01,606,5256,2738,1698,4.15,0
ACC-0009,2025-02-01,661,4015,3375,2096,4.32,0
ACC-0009,2025-03-01,566,4850,2816,2041,3.24,1
ACC-0009,2025-04-01,640,3686,4220,1785,4.73,0
ACC-0009,2025-05-01,633,3799,3087,2594,2.88,0
ACC-0009,2025-06-01,607,2645,2450,1597,3.07,0
ACC-0009,2025-07-01,592,2536,2431,2391,4.48,0
ACC-0009,2025-08-01,666,3594,2390,1600,4.17,0
ACC-0009,2025-09-01,568,4255,3268,1524,4.22,1
ACC-0009,2025-10-01,534,4667,1795,1621,5.05,1
ACC-0009,2025-11-01,519,3071,2543,1080,4.62,1
ACC-0009,2025-12-01,638,3536,3323,1639,3.97,0
ACC-0009,2026-01-01,744,4914,2928,2474,3.25,0
ACC-0009,2026-02-01,611,3271,2858,2355,4.6,1
ACC-0009,2026-03-01,679,3592,3111,2302,3.76,0
ACC-0010,2025-01-01,12,83,45,31,5.31,0
ACC-0010,2025-02-01,12,93,54,20,3.43,0
ACC-0010,2025-03-01,12,66,48,33,5.08,0
ACC-0010,2025-04-01,13,78,31,32,4.22,0
ACC-0010,2025-05-01,13,114,66,37,3.53,0
ACC-0010,2025-06-01,12,76,41,32,4.45,0
ACC-0010,2025-07-01,11,85,46,16,4.16,0
ACC-0010,2025-08-01,13,98,49,38,4.33,0
ACC-0010,2025-09-01,11,54,54,34,4.43,1
ACC-0010,2025-10-01,14,107,65,27,5.41,0
ACC-0010,2025-11-01,13,78,46,33,3.03,0
ACC-0010,2025-12-01,12,65,52,26,4.01,0
ACC-0010,2026-01-01,12,75,67,39,4.45,0
ACC-0010,2026-02-01,12,89,60,24,4.15,0
ACC-0010,2026-03-01,11,85,63,27,2.71,0
ACC-0011,2025-01-01,6,33,21,16,4.38,0
ACC-0011,2025-02-01,6,34,25,13,3.42,0
ACC-0011,2025-03-01,6,41,23,10,4.89,0
ACC-0011,2025-04-01,5,30,18,12,4.59,1
ACC-0011,2025-05-01,7,40,31,17,3.0,0
ACC-0011,2025-06-01,7,34,31,18,4.39,0
ACC-0011,2025-07-01,6,44,17,14,3.81,1
ACC-0011,2025-08-01,6,41,29,13,4.75,0
ACC-0011,2025-09-01,6,33,23,13,3.71,0
ACC-0011,2025-10-01,6,40,16,9,4.5,0
ACC-0011,2025-11-01,6,40,28,10,3.21,0
ACC-0011,2025-12-01,6,41,22,11,3.84,0
ACC-0011,2026-01-01,6,44,20,17,3.92,0
ACC-0011,2026-02-01,6,36,12,14,4.08,0
ACC-0011,2026-03-01,6,26,30,17,5.08,0
ACC-0012,2025-01-01,351,2672,1281,1298,3.66,0
ACC-0012,2025-02-01,317,1668,1626,831,4.46,0
ACC-0012,2025-03-01,314,1306,2040,1203,3.47,0
ACC-0012,2025-04-01,352,2682,1951,1162,4.97,0
ACC-0012,2025-05-01,337,2202,1720,1014,3.93,0
ACC-0012,2025-06-01,354,2314,1442,1331,3.52,0
ACC-0012,2025-07-01,327,2019,1792,561,4.82,0
ACC-0012,2025-08-01,338,2650,1570,1070,5.54,0
ACC-0012,2025-09-01,284,2233,1466,991,4.25,1
ACC-0012,2025-10-01,277,1500,1242,905,4.05,0
ACC-0012,2025-11-01,311,1687,1365,682,5.62,0
ACC-0012,2025-12-01,341,1713,1746,1212,4.02,0
ACC-0012,2026-01-01,375,3391,1566,931,3.59,0
ACC-0012,2026-02-01,386,2951,1925,1245,3.63,0
ACC-0012,2026-03-01,371,2256,1803,1345,4.07,0
ACC-0013,2025-01-01,22,143,104,74,4.61,0
ACC-0013,2025-02-01,24,150,84,67,4.32,0
ACC-0013,2025-03-01,21,128,84,46,5.24,0
ACC-0013,2025-04-01,23,184,99,57,3.54,0
ACC-0013,2025-05-01,22,143,66,48,3.97,0
ACC-0013,2025-06-01,23,161,83,63,4.07,0
ACC-0013,2025-07-01,17,101,84,26,4.28,1
ACC-0013,2025-08-01,25,141,102,44,5.34,0
ACC-0013,2025-09-01,22,144,114,62,3.59,0
ACC-0013,2025-10-01,22,154,79,28,4.16,0
ACC-0013,2025-11-01,20,165,84,39,3.71,0
ACC-0013,2025-12-01,19,100,93,70,4.71,0
ACC-0013,2026-01-01,22,132,73,79,4.07,0
ACC-0013,2026-02-01,25,200,67,53,3.73,0
ACC-0013,2026-03-01,22,141,142,41,4.36,0
ACC-0014,2025-04-01,39,253,163,96,4.27,0
ACC-0014,2025-05-01,39,267,177,163,4.86,0
ACC-0014,2025-06-01,38,198,137,115,4.38,0
ACC-0014,2025-07-01,39,213,122,79,4.04,0
ACC-0014,2025-08-01,39,210,147,88,4.47,0
ACC-0014,2025-09-01,37,218,138,132,3.7,0
ACC-0014,2025-10-01,34,265,163,123,4.85,0
ACC-0014,2025-11-01,31,247,136,121,4.47,0
ACC-0014,2025-12-01,41,254,180,122,4.81,0
