ticket_id,account_id,user_id,created_at,channel,issue_category,severity,priority,resolution_time_hours,escalated_flag,csat_score,refund_flag,churn_risk_flag,experiment_variant,ai_predicted_category,ai_detected_theme,ai_priority_score,ai_category_confidence
TKT-000001,ACC-0001,USR-00003,2025-06-17T12:00:00,web_form,feature_request,high,high,28.08,0,3.58,0,0,guided_onboarding,feature_request,bulk_actions,48.75,0.978
TKT-000002,ACC-0001,USR-00002,2025-07-12T11:00:00,web_form,feature_request,low,low,33.65,0,3.42,0,0,guided_onboarding,feature_request,custom_dashboard,34.51,0.838
TKT-000003,ACC-0001,USR-00001,2025-07-04T08:00:00,web_form,bug,low,low,16.99,0,2.65,0,0,guided_onboarding,bug,filter_logic,34.89,0.941
TKT-000004,ACC-0001,USR-00001,2025-08-15T18:00:00,email,onboarding,low,low,10.36,0,3.58,0,0,guided_onboarding,onboarding,workspace_configuration,28.86,0.882
TKT-000005,ACC-0001,USR-00004,2025-08-19T08:00:00,chat,account_management,low,low,10.39,0,2.98,0,0,guided_onboarding,account_management,renewal_changes,31.86,0.988
TKT-000006,ACC-0001,USR-00001,2025-08-25T08:00:00,chat,onboarding,medium,medium,19.91,0,3.82,0,0,guided_onboarding,onboarding,training_gap,37.15,0.97
TKT-000007,ACC-0001,USR-00004,2025-10-25T15:00:00,chat,integration,low,low,16.12,1,2.77,0,0,guided_onboarding,integration,webhook_failure,36.21,0.969
TKT-000008,ACC-0001,USR-00001,2025-10-17T09:00:00,chat,integration,medium,medium,29.99,1,2.66,0,0,guided_onboarding,integration,identity_provisioning,47.15,0.784
TKT-000009,ACC-0001,USR-00001,2025-10-15T11:00:00,chat,performance,medium,medium,25.07,1,2.69,1,0,guided_onboarding,performance,api_timeout,48.67,0.84
TKT-000010,ACC-0001,USR-00002,2025-11-03T09:00:00,email,performance,low,low,17.01,1,2.43,0,0,guided_onboarding,performance,report_refresh,38.09,0.938
TKT-000011,ACC-0001,USR-00002,2025-11-17T13:00:00,email,account_management,medium,medium,10.63,0,4.08,0,0,guided_onboarding,account_management,billing_contact,33.91,0.957
TKT-000012,ACC-0001,USR-00004,2025-12-12T15:00:00,email,onboarding,low,low,9.11,0,3.55,0,0,guided_onboarding,onboarding,setup_guidance,28.75,0.961
TKT-000013,ACC-0001,USR-00004,2025-12-07T15:00:00,email,feature_request,high,high,41.61,0,3.29,0,0,guided_onboarding,feature_request,custom_dashboard,53.02,0.832
TKT-000014,ACC-0001,USR-00004,2025-12-23T16:00:00,chat,integration,high,high,34.76,1,1.52,0,1,guided_onboarding,integration,slack_alerts,67.04,0.892
TKT-000015,ACC-0001,USR-00001,2026-02-19T11:00:00,email,access,high,high,9.0,0,3.53,0,0,guided_onboarding,access,permission_setup,45.03,0.982
TKT-000016,ACC-0001,USR-00001,2026-02-24T14:00:00,email,account_management,medium,medium,9.66,0,4.14,0,0,guided_onboarding,account_management,billing_contact,33.41,0.952
TKT-000017,ACC-0001,USR-00001,2026-02-07T11:00:00,web_form,feature_request,medium,medium,21.6,0,3.41,0,0,guided_onboarding,feature_request,bulk_actions,39.55,0.977
TKT-000018,ACC-0001,USR-00004,2026-03-14T18:00:00,chat,performance,critical,urgent,35.66,1,2.25,0,0,guided_onboarding,performance,dashboard_latency,65.38,0.954
TKT-000019,ACC-0001,USR-00002,2026-03-11T17:00:00,email,access,medium,medium,6.82,0,3.96,0,0,guided_onboarding,access,sso_role_mapping,33.72,0.984
TKT-000020,ACC-0001,USR-00003,2026-03-14T09:00:00,email,feature_request,medium,medium,32.29,0,3.31,0,0,guided_onboarding,feature_request,audit_log,42.28,0.945
TKT-000021,ACC-0002,USR-00006,2025-05-07T18:00:00,chat,onboarding,low,low,7.66,0,3.58,0,1,control,onboarding,workspace_configuration,27.2,0.971
TKT-000022,ACC-0002,USR-00006,2025-05-17T09:00:00,web_form,account_management,medium,medium,12.97,1,3.0,0,0,control,account_management,renewal_changes,36.3,0.992
TKT-000023,ACC-0002,USR-00006,2025-05-20T11:00:00,web_form,account_management,medium,medium,11.19,0,3.97,0,0,control,account_management,billing_contact,28.98,0.953
TKT-000024,ACC-0002,USR-00005,2025-06-24T09:00:00,email,feature_request,low,low,22.14,0,3.42,0,0,control,feature_request,audit_log,26.51,0.953
TKT-000025,ACC-0002,USR-00006,2025-06-08T18:00:00,email,bug,high,high,24.06,1,2.72,0,0,control,bug,data_sync_bug,48.71,0.727
TKT-000026,ACC-0002,USR-00005,2025-06-16T09:00:00,email,feature_request,low,low,16.84,0,3.75,0,0,control,feature_request,audit_log,23.76,0.944
