issue_category,severity,avg_resolution_time_hours,escalation_rate
feature_request,critical,56.65,0.118
integration,critical,48.55,0.468
performance,critical,43.4,0.408
feature_request,high,37.42,0.16
bug,critical,35.67,0.382
integration,high,33.98,0.429
performance,high,31.09,0.389
feature_request,medium,30.34,0.049
integration,medium,26.35,0.277
bug,high,25.57,0.369
onboarding,critical,24.79,0.167
performance,medium,24.12,0.297
feature_request,low,23.67,0.034
account_management,critical,21.89,0.31
integration,low,20.58,0.375
bug,medium,20.14,0.208
performance,low,19.08,0.327
onboarding,high,17.21,0.212
billing,critical,15.71,0.174
account_management,high,15.37,0.203
bug,low,15.05,0.247
access,critical,13.84,0.357
onboarding,medium,13.05,0.132
account_management,medium,11.72,0.116
billing,high,11.26,0.189
onboarding,low,10.32,0.117
access,high,10.07,0.278
account_management,low,9.34,0.126
billing,medium,8.69,0.111
access,medium,7.76,0.198
billing,low,6.97,0.1
access,low,5.99,0.151
